4,Balkh,Mazar-e-Sharif,127800
5,Noord-Holland,Amsterdam,731200
6,Zuid-Holland,Rotterdam,593321
7,Zuid-Holland,Haag,440900
8,Utrecht,Utrecht,234323
9,Noord-Brabant,Eindhoven,201843
10,Noord-Brabant,Tilburg,193238
11,Groningen,Groningen,172701
12,Noord-Brabant,Breda,160398
13,Gelderland,Apeldoorn,153491
14,Gelderland,Nijmegen,152463
15,Overijssel,Enschede,149544
16,Noord-Holland,Haarlem,148772
17,Flevoland,Almere,142465
18,Gelderland,Arnhem,138020
19,Noord-Holland,Zaanstad,135621
20,Noord-Brabant,Â´s-Hertogenbosch,129170
21,Utrecht,Amersfoort,126270
22,Limburg,Maastricht,122087
23,Zuid-Holland,Dordrecht,119811
24,Zuid-Holland,Leiden,117196
25,Noord-Holland,Haarlemmermeer,110722
26,Zuid-Holland,Zoetermeer,110214
27,Drenthe,Emmen,105853
28,Overijssel,Zwolle,105819
29,Gelderland,Ede,101574
30,Zuid-Holland,Delft,95268
31,Limburg,Heerlen,95052
32,Noord-Holland,Alkmaar,92713
33,CuraÃ§ao,Willemstad,2345
34,Tirana,Tirana,270000
35,Alger,Alger,2168000
36,Oran,Oran,609823
37,Constantine,Constantine,443727
38,Annaba,Annaba,222518
39,Batna,Batna,183377
40,SÃ©tif,SÃ©tif,179055
41,"Sidi Bel AbbÃ¨s","Sidi Bel AbbÃ¨s",153106
42,Skikda,Skikda,128747
43,Biskra,Biskra,128281
44,Blida,"Blida (el-Boulaida)",127284
45,BÃ©jaÃ¯a,BÃ©jaÃ¯a,117162
46,Mostaganem,Mostaganem,115212
47,TÃ©bessa,TÃ©bessa,112007
48,Tlemcen,"Tlemcen (Tilimsen)",110242
49,BÃ©char,BÃ©char,107311
50,Tiaret,Tiaret,100118
51,Chlef,"Ech-Chleff (el-Asnam)",96794
52,GhardaÃ¯a,GhardaÃ¯a,89415
53,Tutuila,Tafuna,5200
54,Tutuila,Fagatogo,2323
55,"Andorra la Vella","Andorra la Vella",21189
56,Luanda,Luanda,2022000
57,Huambo,Huambo,163100
58,Benguela,Lobito,130000
59,Benguela,Benguela,128300
60,Namibe,Namibe,118200
61,Â–,"South Hill",961
62,Â–,"The Valley",595
63,"St John","Saint JohnÂ´s",24000
64,Dubai,Dubai,669181
65,"Abu Dhabi","Abu Dhabi",398695
66,Sharja,Sharja,320095
67,"Abu Dhabi",al-Ayn,225970
68,Ajman,Ajman,114395
69,"Distrito Federal","Buenos Aires",2982146
70,"Buenos Aires","La Matanza",1266461
71,CÃ³rdoba,CÃ³rdoba,1157507
72,"Santa FÃ©",Rosario,907718
73,"Buenos Aires","Lomas de Zamora",622013
74,"Buenos Aires",Quilmes,559249
75,"Buenos Aires","Almirante Brown",538918
76,"Buenos Aires","La Plata",521936
77,"Buenos Aires","Mar del Plata",512880
78,TucumÃ¡n,"San Miguel de TucumÃ¡n",470809
79,"Buenos Aires",LanÃºs,469735
80,"Buenos Aires",Merlo,463846
81,"Buenos Aires","General San MartÃ­n",422542
82,Salta,Salta,367550
83,"Buenos Aires",Moreno,356993
84,"Santa FÃ©","Santa FÃ©",353063
85,"Buenos Aires",Avellaneda,353046
86,"Buenos Aires","Tres de Febrero",352311
87,"Buenos Aires",MorÃ³n,349246
88,"Buenos Aires","Florencio Varela",315432
89,"Buenos Aires","San Isidro",306341
90,"Buenos Aires",Tigre,296226
91,"Buenos Aires","Malvinas Argentinas",290335
92,"Buenos Aires","Vicente LÃ³pez",288341
93,"Buenos Aires",Berazategui,276916
94,Corrientes,Corrientes,258103
